phoneNumber,countryCode,name,categoryName,updateCategoryName,address,city,state,pincode
7455123001,+91,JmeterUser00001,TestCategory00001,UpdatedCategory00001,123 Test Street 001,Chennai,Tamil Nadu,600001
7455123002,+91,JmeterUser00002,TestCategory00002,UpdatedCategory00002,124 Test Street 002,Coimbatore,Tamil Nadu,641001
7455123003,+91,JmeterUser00003,TestCategory00003,UpdatedCategory00003,125 Test Street 003,Madurai,Tamil Nadu,625001
7455123004,+91,JmeterUser00004,TestCategory00004,UpdatedCategory00004,126 Test Street 004,Tiruchirappalli,Tamil Nadu,620001
7455123005,+91,JmeterUser00005,TestCategory00005,UpdatedCategory00005,127 Test Street 005,Salem,Tamil Nadu,636001
7455123006,+91,JmeterUser00006,TestCategory00006,UpdatedCategory00006,128 Test Street 006,Tirunelveli,Tamil Nadu,627001
7455123007,+91,JmeterUser00007,TestCategory00007,UpdatedCategory00007,129 Test Street 007,Erode,Tamil Nadu,638001
7455123008,+91,JmeterUser00008,TestCategory00008,UpdatedCategory00008,130 Test Street 008,Vellore,Tamil Nadu,632001
7455123009,+91,JmeterUser00009,TestCategory00009,UpdatedCategory00009,131 Test Street 009,Thanjavur,Tamil Nadu,613001
7455123010,+91,JmeterUser00010,TestCategory00010,UpdatedCategory00010,132 Test Street 010,Dindigul,Tamil Nadu,624001
7455123011,+91,JmeterUser00011,TestCategory00011,UpdatedCategory00011,133 Test Street 011,Chennai,Tamil Nadu,600002
7455123012,+91,JmeterUser00012,TestCategory00012,UpdatedCategory00012,134 Test Street 012,Coimbatore,Tamil Nadu,641002
7455123013,+91,JmeterUser00013,TestCategory00013,UpdatedCategory00013,135 Test Street 013,Madurai,Tamil Nadu,625002
7455123014,+91,JmeterUser00014,TestCategory00014,UpdatedCategory00014,136 Test Street 014,Tiruchirappalli,Tamil Nadu,620002
7455123015,+91,JmeterUser00015,TestCategory00015,UpdatedCategory00015,137 Test Street 015,Salem,Tamil Nadu,636002
7455123016,+91,JmeterUser00016,TestCategory00016,UpdatedCategory00016,138 Test Street 016,Tirunelveli,Tamil Nadu,627002
7455123017,+91,JmeterUser00017,TestCategory00017,UpdatedCategory00017,139 Test Street 017,Erode,Tamil Nadu,638002
7455123018,+91,JmeterUser00018,TestCategory00018,UpdatedCategory00018,140 Test Street 018,Vellore,Tamil Nadu,632002
7455123019,+91,JmeterUser00019,TestCategory00019,UpdatedCategory00019,141 Test Street 019,Thanjavur,Tamil Nadu,613002
7455123020,+91,JmeterUser00020,TestCategory00020,UpdatedCategory00020,142 Test Street 020,Dindigul,Tamil Nadu,624002
7455123021,+91,JmeterUser00021,TestCategory00021,UpdatedCategory00021,143 Test Street 021,Chennai,Tamil Nadu,600003
7455123022,+91,JmeterUser00022,TestCategory00022,UpdatedCategory00022,144 Test Street 022,Coimbatore,Tamil Nadu,641003
7455123023,+91,JmeterUser00023,TestCategory00023,UpdatedCategory00023,145 Test Street 023,Madurai,Tamil Nadu,625003
7455123024,+91,JmeterUser00024,TestCategory00024,UpdatedCategory00024,146 Test Street 024,Tiruchirappalli,Tamil Nadu,620003
7455123025,+91,JmeterUser00025,TestCategory00025,UpdatedCategory00025,147 Test Street 025,Salem,Tamil Nadu,636003
7455123026,+91,JmeterUser00026,TestCategory00026,UpdatedCategory00026,148 Test Street 026,Tirunelveli,Tamil Nadu,627003
7455123027,+91,JmeterUser00027,TestCategory00027,UpdatedCategory00027,149 Test Street 027,Erode,Tamil Nadu,638003
7455123028,+91,JmeterUser00028,TestCategory00028,UpdatedCategory00028,150 Test Street 028,Vellore,Tamil Nadu,632003
7455123029,+91,JmeterUser00029,TestCategory00029,UpdatedCategory00029,151 Test Street 029,Thanjavur,Tamil Nadu,613003
7455123030,+91,JmeterUser00030,TestCategory00030,UpdatedCategory00030,152 Test Street 030,Dindigul,Tamil Nadu,624003
7455123031,+91,JmeterUser00031,TestCategory00031,UpdatedCategory00031,153 Test Street 031,Chennai,Tamil Nadu,600004
7455123032,+91,JmeterUser00032,TestCategory00032,UpdatedCategory00032,154 Test Street 032,Coimbatore,Tamil Nadu,641004
7455123033,+91,JmeterUser00033,TestCategory00033,UpdatedCategory00033,155 Test Street 033,Madurai,Tamil Nadu,625004
7455123034,+91,JmeterUser00034,TestCategory00034,UpdatedCategory00034,156 Test Street 034,Tiruchirappalli,Tamil Nadu,620004
7455123035,+91,JmeterUser00035,TestCategory00035,UpdatedCategory00035,157 Test Street 035,Salem,Tamil Nadu,636004
